"","1,3-Butadiene","Acetaldehyde","Benzene","Cyanide Compounds","Diesel Pm","Toluene"
"1","L","L","L","L","L","L"
"2","H","L","H","L","H","H"
"3","H","L","H","L","H","H"
"4","H","L","H","L","H","H"
"5","H","L","H","L","H","H"
"6","H","L","H","L","H","H"
"7","H","L","H","L","H","H"
"8","H","L","H","L","H","H"
"9","H","L","H","L","H","H"
"10","H","L","H","L","H","H"
"11","H","L","H","L","H","H"
"12","H","L","H","L","H","H"
"13","H","L","H","L","H","H"
"14","H","L","H","L","H","H"
"15","H","L","H","L","H","H"
"16","H","L","H","L","H","H"
"17","H","L","L","L","H","L"
"18","H","L","L","L","H","L"
"19","H","L","H","L","H","L"
"20","H","L","H","L","H","H"
"21","H","L","H","L","H","H"
"22","H","L","H","L","H","H"
"23","H","L","H","L","H","H"
"24","H","L","H","L","H","H"
"25","H","L","H","L","H","H"
"26","H","H","H","L","H","H"
"27","H","H","H","L","H","H"
"28","H","L","H","L","H","H"
"29","H","L","H","L","H","H"
"30","H","L","H","L","H","H"
"31","H","L","H","L","H","H"
"32","H","L","H","L","H","H"
"33","H","L","H","L","H","H"
"34","H","L","H","L","H","H"
"35","H","L","H","L","H","H"
"36","H","L","H","L","H","H"
"37","H","L","H","L","H","H"
"38","H","L","H","L","H","H"
"39","H","L","H","L","H","H"
"40","H","L","L","L","H","L"
"41","H","L","H","L","H","L"
"42","L","L","L","L","H","L"
"43","H","L","L","L","H","L"
"44","H","L","L","L","H","L"
"45","L","L","L","L","H","L"
"46","H","L","L","L","H","L"
"47","H","L","H","L","H","H"
"48","H","L","H","L","H","H"
"49","H","L","H","L","H","H"
"50","H","L","H","L","H","H"
"51","H","L","H","L","H","H"
"52","H","L","H","L","H","H"
"53","H","L","H","L","H","H"
"54","H","L","H","L","H","H"
"55","H","L","H","L","H","H"
"56","H","L","H","L","H","H"
"57","H","L","H","L","H","H"
"58","H","L","H","L","H","H"
"59","H","L","H","L","H","H"
"60","H","L","H","L","H","H"
"61","H","L","H","L","H","H"
"62","H","L","H","L","H","H"
"63","H","L","H","L","H","H"
"64","H","L","H","L","H","H"
"65","H","L","H","L","H","H"
"66","H","L","H","L","H","H"
"67","H","L","H","L","H","H"
"68","H","L","H","L","H","H"
"69","H","L","H","L","H","H"
"70","H","L","H","L","H","H"
"71","H","L","H","L","H","L"
"72","H","L","L","L","H","L"
"73","H","L","L","L","H","L"
"74","H","L","H","L","H","H"
"75","H","L","H","L","H","H"
"76","H","L","H","L","H","H"
"77","H","L","H","L","H","H"
"78","H","L","H","L","H","H"
"79","H","L","H","L","H","H"
"80","H","L","H","L","H","H"
"81","H","L","H","L","H","H"
"82","H","L","L","L","H","H"
"83","H","L","L","L","H","L"
"84","H","L","L","L","H","L"
"85","H","L","L","L","H","L"
"86","L","L","L","L","L","L"
"87","H","L","L","L","L","L"
"88","H","L","L","L","L","L"
"89","H","L","L","L","H","H"
"90","H","L","H","L","H","H"
"91","H","L","H","L","H","H"
"92","H","L","H","L","H","H"
"93","H","L","H","L","H","H"
"94","H","L","H","L","H","H"
"95","H","L","L","L","H","L"
"96","H","L","H","L","H","H"
"97","H","L","H","L","H","H"
"98","H","L","H","L","H","H"
"99","H","L","H","L","H","H"
"100","H","H","H","L","H","H"
"101","H","L","H","L","H","H"
"102","H","L","L","L","H","H"
"103","L","L","L","L","L","L"
"104","L","L","L","L","L","L"
