"","county","railyards_crpm_avg","airport_crpm_avg","lightduty_crpm_avg","heavyduty_crpm_avg","cmv_loco_crpm_avg","np_10m_releaseheight_crpm_avg","np_low_releaseheight_crpm_avg","rwc_crpm_avg","cmv_crpm_avg","biogenics_crpm_avg","fires_crpm_avg","secondary_crpm_avg","total_crpm_avg"
"Alameda","Alameda",0.344518321712173,0.372328693859696,0.418447407977046,0.851236032574415,0.365699779112695,0.330767313295294,0.2691650977818,0.154328078171471,0.39526652070025,0.038379682104755,0.116523712373004,0.177699374160589,0.455586092277724
"Alpine","Alpine",0,0,0.000395691633077923,0,0,0,0,0.00390700396156896,0.000782664717318719,0.0976502224422657,0.400369029591733,0.211414595365352,0.0311355058629581
"Amador","Amador",0.00287440760783504,0.0519455686066683,0.0554159413653734,0.0631247341563575,0.0969409360287965,0.117200717814041,0.0237978358477164,0.0873878151809087,8.48228744850961e-05,0.746067731498018,0.545048225006194,0.721719945929467,0.227359765647043
"Butte","Butte",0.0570226407121064,0.0876387914884193,0.198708025957812,0.262266409604666,0.158842900788772,0.119220394779165,0.144896933809524,0.398137537149774,1.35261863733497e-10,0.819051932262965,0.592626613093726,0.974082299546229,0.454525132952175
"Calaveras","Calaveras",0.00669493612835985,0.0131930355357195,0.0282184352733034,0.0371461810844011,0.134533118555026,0.0933145643173273,0.00973226362860387,0.0624013240546762,0.000186626733204126,0.648497450341209,0.566563077177766,0.677968085753933,0.202165978855516
"Colusa","Colusa",0.102207712275267,0.0733687348946542,0.0145661412645654,0.0857449373033549,0.0524964852520096,1,0.0263445138512293,0.0790801112682848,2.93647923929776e-06,0.884904636103129,0.828915230986453,0.672694072261221,0.240422893790422
"Contra Costa","Contra Costa",0.658593963489657,0.0650178177573022,0.285639957776288,0.399988920181968,0.300477550248832,0.367269178566584,0.173446583060087,0.323959608360643,0.109614929282298,0.0984171320445604,0.162436318074565,0.248751754655679,0.394550045212963
"Del Norte","Del Norte",0.0826478402516208,0.0222982059149928,0.1025886774611,0.11807479585855,0.080325620725164,0.131133984781698,0.0287800358909839,0.10158195445785,0.00480099244320799,0.482123164230362,0.170499799829122,0,0.118993256579884
"El Dorado","El Dorado",0.00740936324812793,0.0599311731752699,0.0886275978576831,0.0902814469922129,0.0796125318116882,0.192824512792831,0.0435706330240264,0.208987006140396,0.00635914346794138,0.604275077318385,0.67680195793564,0.683608885809336,0.268762382314335
"Entire state","Entire state",0.225150349909259,0.414930321600772,0.365558590375247,0.594801445212041,0.338183446264136,0.135730864280966,0.33799452010825,0.167131516461623,0.0755276750870639,0.248015726813239,0.136742402106584,0.551972190505238,0.469027135685083
"Fresno","Fresno",0.0941413899555199,0.154771762090609,0.245934296255267,0.622241616424388,0.191852123447791,0.0716050815122058,0.257232779383312,0.178069784565456,0,0.602905061924835,0.377884207261888,0.869839486973058,0.423194342238241
"Glenn","Glenn",0.0389470293217055,0.079219155668831,0.0750762608538899,0.164225888772132,0.0591000848234133,0.572906466714769,0.115316111512545,0.163462215872782,0,0.963287913364792,1,0.763233743046996,0.308176515955732
