"","ID","Review.Date","Location","Hotel.Restaurant.name","Review"
"1","rn580748664","Reviewed 4 days ago "," Rawai","Green Tamarind Kitchen","If you want the best burger in Phuket, look no further. Some people will tell you that the best burger is at a resort, or that Hooters does a really good one, or that they know this 5 star restaurant that has an amazing burger,...More"
"2","rn579783154","Reviewed 1 week ago "," Rawai","Green Tamarind Kitchen","I have been here a couple of times now,and have had mixed expieriences. I seems to be that it has to be the right person bbq'ing the food! First time the burgers and bacon was made right,but the next time the burger fell apart when...More"
"3","rn579651071","Reviewed 1 week ago "," Rawai","Green Tamarind Kitchen","This place is amazing! Burgers are delicious! High recommended! I will come again. When I will be off my diet<f0><U+009F><U+0098><U+0084>"
"4","rn574834726","Reviewed 4 weeks ago "," Rawai","Green Tamarind Kitchen","This is a must when in Phuket. Their burgers rank top worldwide. The service is fast and friendly, food is served fresh hot and fast - very rare for Thailand. They have a great varié of burgers, also other dishes, but why come here for...More"
"5","rn574713927","Reviewed 4 weeks ago "," Rawai","Green Tamarind Kitchen","The reviews speak for themselves. This is mainly the reason we went here and they didn’t disappoint. The burgers are out of this world and cooked in front of you. Very reasonable price for what you get. Only thing I would say is share a...More"
"6","rn573036147","Reviewed April 13, 2018 "," Rawai","Green Tamarind Kitchen","Fancied a change from Thai food and had been told about this place before. Excellent recommendation, burgers were huge and delicious - our whole group loved the place, some so much they went back a few nights later!"
"7","rn572325533","Reviewed April 9, 2018 "," Rawai","Green Tamarind Kitchen","Restaurant open at five pm, as soon it open it fill with customers really quick. Burgers are big and they have many different choices. Here they grill the steaks in charcoal grill so it gives good flavours to it too. I can strongly recommend this...More"
"8","rn571461094","Reviewed April 6, 2018 "," Rawai","Green Tamarind Kitchen","Went here based on reviews we read- spot on. We both had the Bacon Swiss Burger- fantastic and a nice change when you want a break from Thai. Great service too and ice cold Chang. We'll be back!"
"9","rn570828776","Reviewed April 3, 2018 "," Rawai","Green Tamarind Kitchen","In a nut shell best burger in Phuket if not Thailand
Always packed out and once you’ve eaten here you’ll see why
Hard to get a table just bear that in mind"
"10","rn570327261","Reviewed April 1, 2018 "," Rawai","Green Tamarind Kitchen","Absolutely the best burgers I have tasted. I seldom eat burgers, but these are fantastic! I'm in love with the bacon burger, with lots of crispy bacon on. The meat is first class, and looks terrific(especially the double/triple ones) :-) Now I'm a regular visitor...More"
"11","rn568506346","Reviewed March 24, 2018 "," Rawai","Green Tamarind Kitchen","I visited the green tamarind during my stay in nai harn and had the burger fries and onion rings. The burger was good ,not sure if it was the best in Phuket. But pretty good. On the other hand the fries were soggy and the...More"
"12","rn567807832","Reviewed March 20, 2018 "," Rawai","Green Tamarind Kitchen","I went to Green Tamarind Kitchen on my own one evening for a quick bite. It is a simple set-up, nothing fancy at all, but provides a nice size menu of beef and chicken burger options, sides, as well as a Thai food menu. I...More"
"13","rn566949791","Reviewed March 16, 2018 "," Rawai","Green Tamarind Kitchen","Green Tamarind Kitchen lived up to all the reviews we had read. We arrived and were able to get a table for 2 straight away. We both ordered burgers. My wife ordered the bacon cheeseburger and i ordered the Swiss bacon cheese burger. Wow. These...More"
"14","rn565776618","Reviewed March 11, 2018 "," Rawai","Green Tamarind Kitchen","This place does it right; big burgers, delicious toppings (piled high) and a burger sauce to die for. We went two days in a row because of how good it was. The rating is accurate, you will get an amazing burger experience here :)"
