"journal","authors_raw"
"Hernia : the journal of hernias and abdominal wall surgery","[Tran| H,  Tran| K,  Turingan| I,  Zajkowska| M,  Lam| V,  Hawthorne| W]"
"Water science and technology : a journal of the International Association on Water Pollution Research","[Verlicchi| Paola,  Galletti| Alessio,  Masotti| Luigi]"
"Nature biotechnology","[Carr| Peter A,  Church| George M]"
"Expert opinion on pharmacotherapy","[Kucuksezer| Umut Can,  Ozdemir| Cevdet,  Akdis| Mubeccel,  Akdis| Cezmi A]"
"Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery","[Yan| Carol H,  Prajapati| Divya P,  Ritter| Michele L,  DeConde| Adam S]"
"Journal of neurointerventional surgery","[Haussen| Diogo C,  Lima| Andrey,  Nogueira| Raul G]"
"The Lancet. Respiratory medicine","[Pai| Madhukar,  Dowdy| David]"
"Critical care medicine","[Dworschak| Martin]"
"BMC bioinformatics","[Pritam| Manisha,  Singh| Garima,  Swaroop| Suchit,  Singh| Akhilesh Kumar,  Singh| Satarudra Prakash]"
"Journal of virology","[Fang| Puxian,  Fang| Liurong,  Ren| Jie,  Hong| Yingying,  Liu| Xiaorong,  Zhao| Yunyang,  Wang| Dang,  Peng| Guiqing,  Xiao| Shaobo]"
